Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1875.486042756023,OUT049
FDW14,1591.7612740786317,OUT017
NCN55,1822.6726586170034,OUT010
FDQ58,2546.362959157393,OUT017
FDY38,5087.605400109229,OUT027
FDH56,1942.6371302122498,OUT046
FDL48,680.8000272442425,OUT018
FDC48,2806.042744135889,OUT027
FDN33,1541.2477558067712,OUT045
FDA36,3051.675735541096,OUT017
FDT44,2004.981655103245,OUT017
FDQ56,1358.1533406290985,OUT045
NCC54,1819.7081624356479,OUT019
FDU11,2076.7501933506514,OUT049
DRL59,963.7365800429797,OUT013
FDM24,2541.5716064996277,OUT049
FDI57,3047.5751030919696,OUT045
DRC12,2726.590331793126,OUT018
NCM42,3196.3220820943393,OUT027
FDA46,1129.0865932092925,OUT010
FDA31,2782.853101628461,OUT013
NCJ31,3802.670858884,OUT035
FDG52,863.6967323629374,OUT046
NCL19,383.67497397229477,OUT019
FDS10,2986.404070313179,OUT035
FDX22,1453.2700642602754,OUT010
NCF19,998.5313152811399,OUT035
NCE06,2519.8296088661205,OUT046
DRC27,3768.666066789687,OUT046
FDE21,2044.9750562281504,OUT035
NCR42,-1251.1341145471424,OUT019
FDX51,2840.7076836527967,OUT018
NCR06,510.7134768810503,OUT018
FDU31,4872.661618212023,OUT027
FDU59,2684.9378118546247,OUT017
FDR03,4667.855182836753,OUT027
FDS49,2769.5521447021088,OUT027
FDD48,-11.742853337761062,OUT010
NCF18,3083.5092213649114,OUT017
NCD43,3104.414085400251,OUT027
NCD54,2007.8274969877757,OUT018
FDY19,23.568113246546545,OUT010
NCY54,2783.2415589678108,OUT017
NCL19,2023.5214175263472,OUT018
FDP23,1509.3653428274197,OUT010
FDC26,1848.5794920752437,OUT013
FDR14,-931.0749455928524,OUT010
NCS41,2986.619667600746,OUT035
FDF41,3971.336466450322,OUT035
FDU34,2004.5683173135985,OUT046
DRH11,984.169528964189,OUT046
FDM03,1734.3034064058759,OUT013
FDS31,2964.8933269092486,OUT017
FDJ20,2116.7529678965657,OUT017
FDV44,4427.784808962078,OUT027
FDG02,3080.3282714018815,OUT049
FDA09,2877.990100455804,OUT013
FDT04,743.8136889644123,OUT013
FDL58,2224.430519922795,OUT019
FDE52,1472.2979119940533,OUT045
FDW12,2500.3276177548005,OUT035
FDL51,3499.1716317514506,OUT017
NCY42,3669.3541994593,OUT027
FDR07,1704.3865411049346,OUT017
FDN40,2341.9257898901215,OUT045
FDB35,2975.938723178917,OUT027
FDA22,2708.401927647028,OUT017
NCL06,4020.0931885843816,OUT046
FDI35,2889.386905085806,OUT013
NCW42,3358.986753706945,OUT045
NCX06,2926.3408466167157,OUT049
FDC37,3208.3154817412405,OUT027
FDZ14,1759.3628553683413,OUT018
DRG49,3880.472044509632,OUT049
NCG06,3875.8374405200047,OUT045
DRC36,2697.4303484146426,OUT045
FDV21,89.20329367236604,OUT019
FDB53,2335.28360036281,OUT046
DRP47,1969.3600466199532,OUT019
FDA14,2346.3123118934705,OUT013
DRC24,2559.436840774869,OUT035
FDW21,1431.1415252561833,OUT018
NCH29,1574.1901419858748,OUT046
FDU58,3038.8499545102045,OUT013
FDY27,2888.586673528192,OUT017
FDV56,1978.6353753250964,OUT035
FDT59,3588.219044516926,OUT046
FDB23,3557.5198981563976,OUT046
FDR49,760.3217983798736,OUT045
FDB03,1879.1002918477911,OUT010
FDN39,2601.008116477854,OUT045
FDX02,4893.539499114106,OUT027
FDQ16,3196.57648028102,OUT027
FDU35,1349.3325726460896,OUT018
NCT29,1985.4074128544573,OUT013
FDZ27,871.1855531616688,OUT046
FDN57,2352.025935043547,OUT017
FDA03,2095.9434563670666,OUT018
FDZ36,2892.9101455455666,OUT045
NCU05,1378.534402337673,OUT013
FDT39,2199.463258352248,OUT018
FDK60,1722.7099429732357,OUT017
FDZ25,2809.59873276324,OUT017
FDG12,1996.2641667968062,OUT046
DRB01,1083.3357803119584,OUT019
NCC43,5257.561572088323,OUT027
FDX13,1979.8573545982822,OUT019
FDM22,1099.9470861104878,OUT049
FDJ03,2354.42284128843,OUT027
FDU14,3604.6800005478603,OUT018
FDB33,672.576940136274,OUT010
