Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1582.789013498683,OUT049
FDW14,1446.4163483678217,OUT017
NCN55,574.5694647989937,OUT010
FDQ58,2494.2937910017718,OUT017
FDY38,5873.166681306984,OUT027
FDH56,1934.367876997859,OUT046
FDL48,750.4531032139927,OUT018
FDC48,2182.37635875215,OUT027
FDN33,1529.757437750657,OUT045
FDA36,3057.5353973268225,OUT017
FDT44,1956.7904526829632,OUT017
FDQ56,1429.0143415925922,OUT045
NCC54,574.1142265865268,OUT019
FDU11,2013.6639713884579,OUT049
DRL59,849.1523195512978,OUT013
FDM24,2489.992176667953,OUT049
FDI57,3090.0080218061757,OUT045
DRC12,3054.933687361885,OUT018
NCM42,2904.9501431291706,OUT027
FDA46,511.24482237772594,OUT010
FDA31,2854.674310861006,OUT013
NCJ31,3864.314375811471,OUT035
FDG52,747.2334018155456,OUT046
NCL19,287.2385559575959,OUT019
FDS10,3002.261741088048,OUT035
FDX22,566.8657595429519,OUT010
NCF19,742.5119031861708,OUT035
NCE06,2568.3014368948193,OUT046
DRC27,3892.061770592228,OUT046
FDE21,1932.4279063154402,OUT035
NCR42,131.63338373433234,OUT019
FDX51,3054.933687361885,OUT018
NCR06,661.928865169935,OUT018
FDU31,5873.166681306984,OUT027
FDU59,2570.281175571657,OUT017
FDR03,5869.882923191434,OUT027
FDS49,2103.230009793956,OUT027
FDD48,268.16199169519894,OUT010
NCF18,3057.5353973268225,OUT017
NCD43,2865.665060232173,OUT027
NCD54,2120.0206871401474,OUT018
FDY19,268.28424216488673,OUT010
NCY54,2854.674310861006,OUT017
NCL19,2478.1019236002926,OUT018
FDP23,572.3937874097924,OUT010
FDC26,1716.0792855586326,OUT013
FDR14,131.63338373433234,OUT010
NCS41,3057.5353973268225,OUT035
FDF41,3885.8546029225627,OUT035
FDU34,2013.6639713884579,OUT046
DRH11,974.4848088315784,OUT046
FDM03,1582.789013498683,OUT013
FDS31,3007.9587256123486,OUT017
FDJ20,2013.6639713884579,OUT017
FDV44,5065.419764636801,OUT027
FDG02,3059.4829221191635,OUT049
FDA09,2960.0948290625192,OUT013
FDT04,704.2966792523164,OUT013
FDL58,573.5812297366344,OUT019
FDE52,1477.0636991554918,OUT045
FDW12,2480.1678319463604,OUT035
FDL51,3675.186711786459,OUT017
NCY42,3004.8610527576475,OUT027
FDR07,1534.9601908195816,OUT017
FDN40,2491.941622671647,OUT045
FDB35,2664.141335743149,OUT027
FDA22,2570.281175571657,OUT017
NCL06,4065.982697623531,OUT046
FDI35,3007.9587256123486,OUT013
NCW42,3767.0540666019792,OUT045
NCX06,2979.1098154806823,OUT049
FDC37,2897.069867954038,OUT027
FDZ14,2013.6639713884579,OUT018
DRG49,3888.158480997517,OUT049
NCG06,4004.9540565707225,OUT045
DRC36,2854.674310861006,OUT045
FDV21,279.66497040779507,OUT019
FDB53,2482.6839746011383,OUT046
DRP47,572.8429558107255,OUT019
FDA14,2480.1678319463604,OUT013
DRC24,2491.941622671647,OUT035
FDW21,1566.845331854304,OUT018
NCH29,1534.9601908195816,OUT046
FDU58,3057.5353973268225,OUT013
FDY27,2870.979925777241,OUT017
FDV56,1597.3290133641706,OUT035
FDT59,3830.8941777268137,OUT046
FDB23,3814.7595237589185,OUT046
FDR49,741.3122564238495,OUT045
FDB03,574.3837599172399,OUT010
FDN39,2570.281175571657,OUT045
FDX02,5873.166681306984,OUT027
FDQ16,2897.069867954038,OUT027
FDU35,1537.6240098752269,OUT018
NCT29,2013.6639713884579,OUT013
FDZ27,747.2334018155456,OUT046
FDN57,2027.4136697412725,OUT017
FDA03,2478.1019236002926,OUT018
FDZ36,3057.5353973268225,OUT045
NCU05,1482.9938103042355,OUT013
FDT39,2487.9262683218853,OUT018
FDK60,1534.9601908195816,OUT017
FDZ25,2745.9854250565286,OUT017
FDG12,2013.6639713884579,OUT046
DRB01,508.7104761703747,OUT019
NCC43,5873.166681306984,OUT027
FDX13,572.1242540790793,OUT019
FDM22,873.7759493798596,OUT049
FDJ03,1026.1922269704023,OUT027
FDU14,3787.134325340357,OUT018
FDB33,382.70099668334524,OUT010
FDP27,3057.5353973268225,OUT046
FDO38,157.13898003636942,OUT010
FDE28,5873.166681306984,OUT027
FDO27,1529.757437750657,OUT035
DRL23,2890.2749564400797,OUT027
FDS28,970.4501096219725,OUT046
FDX24,1539.9736655545564,OUT013
FDZ02,1534.9601908195816,OUT035
FDL46,1934.367876997859,OUT045
FDS60,4745.732286642836,OUT027
NCO06,656.956817377395,OUT017
FDO16,1419.8737503756045,OUT035
FDC60,1446.4163483678217,OUT049
FDA48,3526.1501775132906,OUT018
FDZ36,5065.419764636801,OUT027
FDK27,2010.8920648959365,OUT045
FDW23,659.2472099243599,OUT018
