Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1861.0,OUT049
FDW14,1565.0,OUT017
NCN55,1897.0,OUT010
FDQ58,2597.0,OUT017
FDY38,5164.0,OUT027
FDH56,1920.0,OUT046
FDL48,628.0,OUT018
FDC48,2764.0,OUT027
FDN33,1493.0,OUT045
FDA36,3069.0,OUT017
FDT44,1981.0,OUT017
FDQ56,1293.0,OUT045
NCC54,1849.0,OUT019
FDU11,2055.0,OUT049
DRL59,887.0,OUT013
FDM24,2564.0,OUT049
FDI57,3077.0,OUT045
DRC12,2794.0,OUT018
NCM42,3174.0,OUT027
FDA46,1151.0,OUT010
FDA31,2803.0,OUT013
NCJ31,3851.0,OUT035
FDG52,810.0,OUT046
NCL19,371.0,OUT019
FDS10,3003.0,OUT035
FDX22,1463.0,OUT010
NCF19,883.0,OUT035
NCE06,2530.0,OUT046
DRC27,3846.0,OUT046
FDE21,2003.0,OUT035
NCR42,-1363.0,OUT019
FDX51,2896.0,OUT018
NCR06,455.0,OUT018
FDU31,4928.0,OUT027
FDU59,2701.0,OUT017
FDR03,4752.0,OUT027
FDS49,2748.0,OUT027
FDD48,-57.0,OUT010
NCF18,3093.0,OUT017
NCD43,3080.0,OUT027
NCD54,2019.0,OUT018
FDY19,-21.0,OUT010
NCY54,2797.0,OUT017
NCL19,2051.0,OUT018
FDP23,1551.0,OUT010
FDC26,1823.0,OUT013
FDR14,-1025.0,OUT010
NCS41,3011.0,OUT035
FDF41,4019.0,OUT035
FDU34,2008.0,OUT046
DRH11,920.0,OUT046
FDM03,1765.0,OUT013
FDS31,3029.0,OUT017
FDJ20,2077.0,OUT017
FDV44,4480.0,OUT027
FDG02,3113.0,OUT049
FDA09,2911.0,OUT013
FDT04,693.0,OUT013
FDL58,2295.0,OUT019
FDE52,1437.0,OUT045
FDW12,2475.0,OUT035
FDL51,3533.0,OUT017
NCY42,3668.0,OUT027
FDR07,1645.0,OUT017
FDN40,2365.0,OUT045
FDB35,2936.0,OUT027
FDA22,2733.0,OUT017
NCL06,4114.0,OUT046
FDI35,2923.0,OUT013
NCW42,3397.0,OUT045
NCX06,2939.0,OUT049
FDC37,3180.0,OUT027
FDZ14,1760.0,OUT018
DRG49,3953.0,OUT049
NCG06,3949.0,OUT045
DRC36,2705.0,OUT045
FDV21,63.0,OUT019
FDB53,2366.0,OUT046
DRP47,2041.0,OUT019
FDA14,2357.0,OUT013
DRC24,2543.0,OUT035
FDW21,1444.0,OUT018
NCH29,1557.0,OUT046
FDU58,3081.0,OUT013
FDY27,2933.0,OUT017
FDV56,1923.0,OUT035
FDT59,3664.0,OUT046
FDB23,3627.0,OUT046
FDR49,685.0,OUT045
FDB03,1923.0,OUT010
FDN39,2605.0,OUT045
FDX02,4972.0,OUT027
FDQ16,3176.0,OUT027
FDU35,1372.0,OUT018
NCT29,1956.0,OUT013
FDZ27,834.0,OUT046
FDN57,2333.0,OUT017
FDA03,2128.0,OUT018
FDZ36,2909.0,OUT045
NCU05,1320.0,OUT013
FDT39,2212.0,OUT018
FDK60,1709.0,OUT017
FDZ25,2845.0,OUT017
