Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1645.8615765688394,OUT049
FDW14,1359.6922375348904,OUT017
NCN55,572.7330619382176,OUT010
FDQ58,2461.3883825185017,OUT017
FDY38,5847.121008760118,OUT027
FDH56,1939.4865918024761,OUT046
FDL48,765.8823886441076,OUT018
FDC48,2157.943892073579,OUT027
FDN33,1519.1725816697744,OUT045
FDA36,3108.708104403062,OUT017
FDT44,1928.9749722697813,OUT017
FDQ56,1361.1715447773715,OUT045
NCC54,573.051573644016,OUT019
FDU11,2019.6697011807485,OUT049
DRL59,879.0079145475912,OUT013
FDM24,2449.4920911485683,OUT049
FDI57,3054.753030955818,OUT045
DRC12,2965.155095862691,OUT018
NCM42,2914.708608868761,OUT027
FDA46,508.31339402728355,OUT010
FDA31,2847.220326617076,OUT013
NCJ31,3863.490414950876,OUT035
FDG52,786.643234506655,OUT046
NCL19,287.6091949362646,OUT019
FDS10,2985.9287347807854,OUT035
FDX22,562.8541137802708,OUT010
NCF19,757.3909654094002,OUT035
NCE06,2555.4037623424515,OUT046
DRC27,3890.368479710578,OUT046
FDE21,1955.4721333434009,OUT035
NCR42,131.2680732031797,OUT019
FDX51,3002.4251896384226,OUT018
NCR06,620.6343099049275,OUT018
FDU31,5848.276719002082,OUT027
FDU59,2550.8466237913867,OUT017
FDR03,5846.887687286361,OUT027
FDS49,2061.140236983419,OUT027
FDD48,267.8420260552455,OUT010
NCF18,3015.6299953835896,OUT017
NCD43,2867.203431354861,OUT027
NCD54,2110.658748214772,OUT018
FDY19,268.6014056566428,OUT010
NCY54,2857.9467155670095,OUT017
NCL19,2430.0253717463556,OUT018
FDP23,568.7793848315556,OUT010
FDC26,1743.1881957181406,OUT013
FDR14,131.2680732031797,OUT010
NCS41,3123.816183135913,OUT035
FDF41,3873.7259258630006,OUT035
FDU34,2044.6604477008557,OUT046
DRH11,967.8754698173518,OUT046
FDM03,1650.3126132289233,OUT013
FDS31,3057.5742170485623,OUT017
FDJ20,1995.1149887861,OUT017
FDV44,5146.691382399262,OUT027
FDG02,3122.667294101893,OUT049
FDA09,2996.312454676156,OUT013
FDT04,716.845679051513,OUT013
FDL58,571.020917782641,OUT019
FDE52,1379.5964629470625,OUT045
FDW12,2472.805608547433,OUT035
FDL51,3690.7603526337175,OUT017
NCY42,3018.618426282379,OUT027
FDR07,1543.9496597119225,OUT017
FDN40,2463.9837721925874,OUT045
FDB35,2672.0258296565844,OUT027
FDA22,2538.519399279578,OUT017
NCL06,4115.97573422005,OUT046
FDI35,3060.73652460555,OUT013
NCW42,3758.493415003347,OUT045
NCX06,3004.848128778022,OUT049
FDC37,2894.669471230742,OUT027
FDZ14,1947.2565905581807,OUT018
DRG49,3874.948862080441,OUT049
NCG06,4065.73854788362,OUT045
DRC36,2858.208771362337,OUT045
FDV21,278.9683274804875,OUT019
FDB53,2503.9183640931274,OUT046
DRP47,571.5064282875696,OUT019
FDA14,2469.4060713105555,OUT013
DRC24,2530.4482908415002,OUT035
FDW21,1614.7602661579551,OUT018
NCH29,1544.9774555149418,OUT046
FDU58,3105.5091754705777,OUT013
FDY27,2882.712155401908,OUT017
FDV56,1659.081667460188,OUT035
FDT59,3804.0288247124945,OUT046
FDB23,3766.746413207003,OUT046
FDR49,755.7671103074016,OUT045
FDB03,573.2021484132504,OUT010
FDN39,2631.6739567041986,OUT045
FDX02,5847.121008760118,OUT027
FDQ16,2894.669471230742,OUT027
FDU35,1558.9215886203053,OUT018
NCT29,2007.79816170111,OUT013
FDZ27,786.8742206005114,OUT046
FDN57,2037.545280896032,OUT017
FDA03,2429.2814885052676,OUT018
FDZ36,3126.746484260273,OUT045
NCU05,1410.0513849123977,OUT013
FDT39,2384.089536612383,OUT018
FDK60,1542.7820850511523,OUT017
FDZ25,2783.922272239075,OUT017
FDG12,2072.6886259681173,OUT046
DRB01,500.9036669334294,OUT019
NCC43,5847.121008760118,OUT027
FDX13,568.4295620360634,OUT019
FDM22,867.3655281002717,OUT049
FDJ03,1068.7532186080418,OUT027
FDU14,3813.607866810074,OUT018
FDB33,380.1408256536546,OUT010
FDP27,3113.637355371801,OUT046
FDO38,156.4639057312931,OUT010
FDE28,5847.121008760118,OUT027
FDO27,1519.1725816697744,OUT035
DRL23,2888.138074569183,OUT027
FDS28,968.1758596722748,OUT046
FDX24,1465.4441102236278,OUT013
FDZ02,1541.6990936656214,OUT035
FDL46,1917.2152243320318,OUT045
FDS60,4805.485810064463,OUT027
NCO06,590.6897453556533,OUT017
FDO16,1353.9053760190777,OUT035
FDC60,1362.42586700002,OUT049
FDA48,3460.323991059532,OUT018
FDZ36,5134.459033227789,OUT027
FDK27,2037.4904168983294,OUT045
FDW23,608.6337118112418,OUT018
FDM14,1682.055318544026,OUT018
FDM14,1652.3933361160484,OUT013
FDW60,2827.543095618062,OUT018
FDE21,1964.0850474629065,OUT013
NCM42,1660.3674167155414,OUT035
FDY59,228.56183487256035,OUT010
DRI49,1304.736950666067,OUT049
FDT28,363.4166758525558,OUT019
FDQ22,613.2023649593234,OUT018
FDR60,1269.5141499176164,OUT049
FDC50,235.57081355513665,OUT019
FDV24,2416.000217321164,OUT013
DRF48,487.5721939658152,OUT010
FDQ47,633.2985223803993,OUT046
DRN36,1538.457354091893,OUT049
NCY06,2020.9050858941432,OUT035
FDE52,1378.879762279382,OUT035
NCB54,2015.906591646005,OUT045
NCF31,2491.653259489507,OUT035
FDJ08,5149.524221780921,OUT027
NCC07,1652.0656989232195,OUT017
NCD19,1245.4390526652971,OUT027
FDL46,1980.8293783194877,OUT049
FDM20,4027.041792207117,OUT045
NCI06,451.14688836494287,OUT010
DRM11,4213.742974596489,OUT035
NCH07,2503.8038899144076,OUT018
FDS23,2037.879743260847,OUT013
FDO49,762.6217990505838,OUT018
FDS35,1071.5832020103405,OUT049
DRK39,1332.4162885643343,OUT045
DRI39,903.7112938587987,OUT049
FDV04,2528.803462168562,OUT017
NCN14,3057.3263117983824,OUT035
FDH08,3721.1114087963856,OUT013
FDS20,3153.3057971358985,OUT046
FDV40,1152.0503920470521,OUT049
FDZ48,260.05877773118266,OUT010
FDS24,2513.5609894605986,OUT027
FDK44,2857.636004130187,OUT049
FDS48,2526.9146231156574,OUT045
FDK26,490.2609881173564,OUT010
FDD23,3107.064850214744,OUT045
NCH54,2607.7563142666863,OUT017
NCP14,242.3744059405922,OUT010
FDM60,131.2680732031797,OUT010
FDV24,2447.4073696531004,OUT017
FDH08,3524.8974224483245,OUT018
FDS12,2995.840229445149,OUT027
FDR39,4864.3200435454,OUT027
FDP12,978.549028029745,OUT027
DRF60,5846.831142883954,OUT027
FDC09,1651.785682723345,OUT035
FDF50,3026.9738350643256,OUT018
FDG28,4027.8729639931516,OUT035
NCE19,874.8518093863545,OUT017
NCM53,250.3818005812838,OUT010
NCN18,1719.614895841466,OUT049
FDF32,3138.560906217755,OUT035
FDF11,3941.205734341343,OUT013
DRI59,3799.12942328792,OUT049
NCG54,2782.331696493867,OUT035
FDM44,1636.3711775136162,OUT046
FDT57,3612.2290343134223,OUT018
FDV24,2448.8722603624833,OUT046
FDI50,570.3467506380128,OUT019
FDS09,773.8702318400944,OUT035
NCC31,4067.1243368852242,OUT027
FDQ07,573.2243688632614,OUT019
FDC22,3123.986634975906,OUT017
FDZ56,2787.021341007374,OUT046
FDZ40,131.2680732031797,OUT019
FDS46,2930.409827544221,OUT027
DRD24,2066.2553632358818,OUT045
FDV45,3077.748686764163,OUT017
FDL26,2531.5828308293126,OUT045
FDA56,1988.7256032625287,OUT018
FDN27,1969.8634388058003,OUT046
FDM20,3989.5197080209955,OUT049
FDO16,1332.162579453706,OUT017
FDL03,3006.6907774681695,OUT035
FDE58,1954.0417925174738,OUT046
FDI02,2922.4637739926666,OUT027
NCC55,131.2680732031797,OUT019
FDR03,3280.4524122972753,OUT018
FDB14,1449.7970284850162,OUT017
FDR45,3964.0983892300683,OUT013
